City Name,City Name (in Ukrainian),Subdivision,City status,Population (2001 Census)
Kyiv,????,Kyiv,S,"2,847,200"
Kharkiv,??????,Kharkiv Oblast,O,"1,470,902"
Dnipropetrovsk,???????????????,Dnipropetrovsk Oblast,O,"1,065,008"
Odesa,?????,Odessa Oblast,O,"1,029,049"
Donetsk,???????,Donetsk Oblast,O,"1,016,194"
Zaporizhia,?????????,Zaporizhia Oblast,O,"815,256"
Lviv,?????,Lviv Oblast,O,"732,818"
Kryvyi Rih,?????? ???,Dnipropetrovsk Oblast,R,"668,980"
Mykolaiv,????????,Mykolaiv Oblast,O,"514,136"
Mariupol,?????????,Donetsk Oblast,R,"492,176"
Luhansk,????????,Luhansk Oblast,O,"463,097"
Makiivka,????????,Donetsk Oblast,R,"389,589"
Vinnytsia,???????,Vinnytsia Oblast,O,"356,665"
Simferopol,???????????,Crimea,O,"343,644"
Sevastopol,???????????,Sevastopol,S,"342,451"
Kherson,??????,Kherson Oblast,O,"328,360"
Poltava,???????,Poltava Oblast,O,"317,998"
Chernihiv,????????,Chernihiv Oblast,O,"304,994"
Cherkasy,???????,Cherkasy Oblast,O,"295,414"
Sumy,????,Sumy Oblast,O,"293,141"
Horlivka,????????,Donetsk Oblast,R,"292,250"
Zhytomyr,???????,Zhytomyr Oblast,O,"284,236"
Dniprodzerzhynsk,????????????????,Dnipropetrovsk Oblast,R,"255,841"
Kirovohrad,??????????,Kirovohrad Oblast,O,"254,103"
Khmelnytskyi,????????????,Khmelnytskyi Oblast,O,"253,994"
Rivne,?????,Rivne Oblast,O,"248,813"
Chernivtsi,????????,Chernivtsi Oblast,O,"240,621"
Kremenchuk,?????????,Poltava Oblast,R,"234,073"
Ternopil,?????????,Ternopil Oblast,O,"227,755"
Ivano-Frankivsk,?????-??????????,Ivano-Frankivsk Oblast,O,"218,359"
Lutsk,?????,Volyn Oblast,O,"208,816"
Bila Tserkva,???? ??????,Kiev Oblast,R,"200,131"
Kramatorsk,???????????,Donetsk Oblast,R,"181,025"
